 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,ER.ATL2.png,1,2.828,1.000,1.414,187,0,135.000,1.000,1.000,1.000,1.000
2,ER.ATL2.png,3,7.071,0.754,3.606,189,0,146.310,1.789,2.702,0.370,0.667
3,ER.ATL2.png,6,11.899,0.532,5.000,192,4,53.130,2.846,1.915,0.522,0.632
4,ER.ATL2.png,12,14.728,0.695,5.657,196,4,45.000,4.000,1.301,0.768,0.800
5,ER.ATL2.png,1,2.828,1.000,1.414,203,0,135.000,1.000,1.000,1.000,1.000
6,ER.ATL2.png,3,8.485,0.524,3.162,215,0,108.435,2.000,1.567,0.638,0.600
7,ER.ATL2.png,2,5.657,0.785,2.828,230,0,135.000,1.414,2.646,0.378,0.667
8,ER.ATL2.png,5,9.899,0.641,4.243,234,3,45.000,2.828,1.553,0.644,0.714
9,ER.ATL2.png,89,45.556,0.539,18.974,239,6,18.435,7.000,3.320,0.301,0.832
10,ER.ATL2.png,3343,264.794,0.599,80.994,258,0,147.095,61.000,1.317,0.759,0.912
11,ER.ATL2.png,4489,332.451,0.510,107.912,328,43,20.618,58.000,1.658,0.603,0.936
12,ER.ATL2.png,10,10.485,1.000,4.472,426,0,153.435,3.000,1.327,0.753,0.909
13,ER.ATL2.png,320,88.083,0.518,32.249,497,0,150.255,16.893,1.935,0.517,0.843
14,ER.ATL2.png,2067,310.191,0.270,84.694,522,2,157.068,40.000,2.204,0.454,0.831
15,ER.ATL2.png,24,20.485,0.719,9.487,582,3,18.435,3.000,2.808,0.356,0.960
16,ER.ATL2.png,2,4.243,1.000,2.236,183,1,153.435,1.000,2.000,0.500,1.000
17,ER.ATL2.png,1,2.828,1.000,1.414,206,1,135.000,1.000,1.000,1.000,1.000
18,ER.ATL2.png,3,7.071,0.754,3.606,120,2,146.310,1.789,2.702,0.370,0.667
19,ER.ATL2.png,1,2.828,1.000,1.414,204,2,135.000,1.000,1.000,1.000,1.000
20,ER.ATL2.png,1,2.828,1.000,1.414,182,3,135.000,1.000,1.000,1.000,1.000
21,ER.ATL2.png,1,2.828,1.000,1.414,210,3,135.000,1.000,1.000,1.000,1.000
22,ER.ATL2.png,1,2.828,1.000,1.414,190,4,135.000,1.000,1.000,1.000,1.000
23,ER.ATL2.png,1,2.828,1.000,1.414,121,5,135.000,1.000,1.000,1.000,1.000
24,ER.ATL2.png,1,2.828,1.000,1.414,182,5,135.000,1.000,1.000,1.000,1.000
25,ER.ATL2.png,202,71.255,0.500,22.361,243,6,116.565,16.000,1.365,0.733,0.811
26,ER.ATL2.png,186,137.238,0.124,31.321,122,7,106.699,18.796,1.930,0.518,0.495
27,ER.ATL2.png,2,4.243,1.000,2.236,126,7,153.435,1.000,2.000,0.500,1.000
28,ER.ATL2.png,2,5.657,0.785,2.828,128,9,135.000,1.414,2.646,0.378,0.667
29,ER.ATL2.png,1,2.828,1.000,1.414,426,10,135.000,1.000,1.000,1.000,1.000
30,ER.ATL2.png,1,2.828,1.000,1.414,133,12,135.000,1.000,1.000,1.000,1.000
31,ER.ATL2.png,12,11.899,1.000,5.000,526,13,143.130,4.000,1.135,0.881,0.857
32,ER.ATL2.png,1,2.828,1.000,1.414,22,14,135.000,1.000,1.000,1.000,1.000
33,ER.ATL2.png,1,2.828,1.000,1.414,131,14,135.000,1.000,1.000,1.000,1.000
34,ER.ATL2.png,1,2.828,1.000,1.414,151,14,135.000,1.000,1.000,1.000,1.000
35,ER.ATL2.png,1,2.828,1.000,1.414,158,14,135.000,1.000,1.000,1.000,1.000
36,ER.ATL2.png,1,2.828,1.000,1.414,160,14,135.000,1.000,1.000,1.000,1.000
37,ER.ATL2.png,17,23.213,0.396,10.296,512,14,150.945,3.883,3.067,0.326,0.654
38,ER.ATL2.png,1,2.828,1.000,1.414,20,16,135.000,1.000,1.000,1.000,1.000
39,ER.ATL2.png,12,13.314,0.851,5.831,128,16,149.036,3.000,1.752,0.571,0.857
40,ER.ATL2.png,1,2.828,1.000,1.414,160,16,135.000,1.000,1.000,1.000,1.000
41,ER.ATL2.png,1,2.828,1.000,1.414,160,18,135.000,1.000,1.000,1.000,1.000
42,ER.ATL2.png,1,2.828,1.000,1.414,154,19,135.000,1.000,1.000,1.000,1.000
43,ER.ATL2.png,9,16.142,0.434,6.325,128,20,161.565,3.000,1.969,0.508,0.621
44,ER.ATL2.png,1,2.828,1.000,1.414,521,20,135.000,1.000,1.000,1.000,1.000
45,ER.ATL2.png,1,2.828,1.000,1.414,135,21,135.000,1.000,1.000,1.000,1.000
46,ER.ATL2.png,1,2.828,1.000,1.414,138,22,135.000,1.000,1.000,1.000,1.000
47,ER.ATL2.png,1,2.828,1.000,1.414,137,24,135.000,1.000,1.000,1.000,1.000
48,ER.ATL2.png,1,2.828,1.000,1.414,142,24,135.000,1.000,1.000,1.000,1.000
49,ER.ATL2.png,1,2.828,1.000,1.414,522,24,135.000,1.000,1.000,1.000,1.000
50,ER.ATL2.png,1,2.828,1.000,1.414,537,24,135.000,1.000,1.000,1.000,1.000
51,ER.ATL2.png,1,2.828,1.000,1.414,159,25,135.000,1.000,1.000,1.000,1.000
52,ER.ATL2.png,4,10.485,0.457,5.000,159,29,53.130,1.941,3.850,0.260,0.571
53,ER.ATL2.png,1,2.828,1.000,1.414,531,25,135.000,1.000,1.000,1.000,1.000
54,ER.ATL2.png,1,2.828,1.000,1.414,534,25,135.000,1.000,1.000,1.000,1.000
55,ER.ATL2.png,1,2.828,1.000,1.414,65,26,135.000,1.000,1.000,1.000,1.000
56,ER.ATL2.png,4,7.657,0.857,3.606,155,29,56.310,2.000,2.000,0.500,0.800
57,ER.ATL2.png,41,69.983,0.105,13.454,530,27,131.987,9.701,1.397,0.716,0.427
58,ER.ATL2.png,1,2.828,1.000,1.414,139,27,135.000,1.000,1.000,1.000,1.000
59,ER.ATL2.png,1,2.828,1.000,1.414,149,27,135.000,1.000,1.000,1.000,1.000
60,ER.ATL2.png,1,2.828,1.000,1.414,78,28,135.000,1.000,1.000,1.000,1.000
61,ER.ATL2.png,1,2.828,1.000,1.414,147,28,135.000,1.000,1.000,1.000,1.000
62,ER.ATL2.png,1,2.828,1.000,1.414,523,28,135.000,1.000,1.000,1.000,1.000
63,ER.ATL2.png,3,5.657,1.000,2.828,63,31,45.000,2.000,1.464,0.683,0.857
64,ER.ATL2.png,1,2.828,1.000,1.414,61,30,135.000,1.000,1.000,1.000,1.000
65,ER.ATL2.png,2,4.828,1.000,2.236,78,30,116.565,1.000,2.000,0.500,1.000
66,ER.ATL2.png,2,4.828,1.000,2.236,154,30,116.565,1.000,2.000,0.500,1.000
67,ER.ATL2.png,2,4.828,1.000,2.236,255,30,116.565,1.000,2.000,0.500,1.000
68,ER.ATL2.png,1,2.828,1.000,1.414,144,31,135.000,1.000,1.000,1.000,1.000
69,ER.ATL2.png,81,103.782,0.095,19.925,135,39,17.526,11.508,2.005,0.499,0.453
70,ER.ATL2.png,2,4.828,1.000,2.236,156,31,116.565,1.000,2.000,0.500,1.000
71,ER.ATL2.png,1,2.828,1.000,1.414,81,32,135.000,1.000,1.000,1.000,1.000
72,ER.ATL2.png,85,35.799,0.833,14.213,118,32,129.289,10.419,1.327,0.754,0.872
73,ER.ATL2.png,1,2.828,1.000,1.414,71,33,135.000,1.000,1.000,1.000,1.000
74,ER.ATL2.png,1,2.828,1.000,1.414,539,33,135.000,1.000,1.000,1.000,1.000
75,ER.ATL2.png,3,8.485,0.524,3.162,67,34,108.435,2.000,1.567,0.638,0.600
76,ER.ATL2.png,17,27.213,0.288,8.544,77,34,110.556,6.000,1.353,0.739,0.486
77,ER.ATL2.png,1,2.828,1.000,1.414,142,35,135.000,1.000,1.000,1.000,1.000
78,ER.ATL2.png,136,65.255,0.401,21.401,129,38,127.405,12.127,1.828,0.547,0.723
79,ER.ATL2.png,29,27.556,0.480,9.220,592,43,40.601,6.000,1.448,0.690,0.753
80,ER.ATL2.png,1,2.828,1.000,1.414,82,38,135.000,1.000,1.000,1.000,1.000
81,ER.ATL2.png,1,2.828,1.000,1.414,143,38,135.000,1.000,1.000,1.000,1.000
82,ER.ATL2.png,5,11.314,0.491,5.000,68,43,53.130,2.683,2.165,0.462,0.588
83,ER.ATL2.png,2,4.243,1.000,2.236,72,39,153.435,1.000,2.000,0.500,1.000
84,ER.ATL2.png,1,2.828,1.000,1.414,113,39,135.000,1.000,1.000,1.000,1.000
85,ER.ATL2.png,24,24.627,0.497,8.246,583,43,14.036,5.000,1.519,0.658,0.716
86,ER.ATL2.png,331,116.510,0.306,36.056,258,48,160.560,16.303,2.044,0.489,0.737
87,ER.ATL2.png,3,8.485,0.524,4.243,564,43,45.000,1.414,4.123,0.243,0.600
88,ER.ATL2.png,2,5.657,0.785,2.828,578,40,135.000,1.414,2.646,0.378,0.667
89,ER.ATL2.png,1,2.828,1.000,1.414,23,42,135.000,1.000,1.000,1.000,1.000
90,ER.ATL2.png,1,2.828,1.000,1.414,146,42,135.000,1.000,1.000,1.000,1.000
91,ER.ATL2.png,1,2.828,1.000,1.414,554,42,135.000,1.000,1.000,1.000,1.000
92,ER.ATL2.png,1,2.828,1.000,1.414,567,42,135.000,1.000,1.000,1.000,1.000
93,ER.ATL2.png,2,4.828,1.000,2.236,581,42,116.565,1.000,2.000,0.500,1.000
94,ER.ATL2.png,1,2.828,1.000,1.414,60,43,135.000,1.000,1.000,1.000,1.000
95,ER.ATL2.png,1,2.828,1.000,1.414,70,43,135.000,1.000,1.000,1.000,1.000
96,ER.ATL2.png,196,54.627,0.825,20.125,118,43,116.565,13.000,1.526,0.655,0.922
97,ER.ATL2.png,1,2.828,1.000,1.414,150,43,135.000,1.000,1.000,1.000,1.000
98,ER.ATL2.png,19,30.042,0.265,9.434,554,44,147.995,5.590,1.783,0.561,0.559
99,ER.ATL2.png,1,2.828,1.000,1.414,574,43,135.000,1.000,1.000,1.000,1.000
100,ER.ATL2.png,1,2.828,1.000,1.414,54,44,135.000,1.000,1.000,1.000,1.000
101,ER.ATL2.png,17,21.799,0.450,8.602,73,45,125.538,4.472,2.418,0.413,0.576
102,ER.ATL2.png,1,2.828,1.000,1.414,145,44,135.000,1.000,1.000,1.000,1.000
103,ER.ATL2.png,3,7.657,0.643,3.606,146,47,56.310,1.789,2.702,0.370,0.667
104,ER.ATL2.png,1,2.828,1.000,1.414,220,44,135.000,1.000,1.000,1.000,1.000
105,ER.ATL2.png,562,144.995,0.336,35.228,328,44,96.520,27.487,1.307,0.765,0.785
106,ER.ATL2.png,1,2.828,1.000,1.414,552,44,135.000,1.000,1.000,1.000,1.000
107,ER.ATL2.png,1,2.828,1.000,1.414,562,44,135.000,1.000,1.000,1.000,1.000
108,ER.ATL2.png,1,2.828,1.000,1.414,570,44,135.000,1.000,1.000,1.000,1.000
109,ER.ATL2.png,1,2.828,1.000,1.414,584,44,135.000,1.000,1.000,1.000,1.000
110,ER.ATL2.png,81,57.841,0.304,16.401,587,45,127.569,10.966,1.525,0.656,0.635
111,ER.ATL2.png,17,17.899,0.667,7.616,597,44,113.199,3.000,2.341,0.427,0.895
112,ER.ATL2.png,9,13.899,0.585,5.000,61,45,143.130,3.578,1.240,0.807,0.692
113,ER.ATL2.png,1,2.828,1.000,1.414,566,45,135.000,1.000,1.000,1.000,1.000
114,ER.ATL2.png,38,48.184,0.206,13.416,575,53,26.565,7.696,1.966,0.509,0.481
115,ER.ATL2.png,1,2.828,1.000,1.414,54,46,135.000,1.000,1.000,1.000,1.000
116,ER.ATL2.png,1,2.828,1.000,1.414,149,46,135.000,1.000,1.000,1.000,1.000
117,ER.ATL2.png,2,5.657,0.785,2.828,263,48,45.000,1.414,2.646,0.378,0.667
118,ER.ATL2.png,13,14.728,0.753,5.385,67,49,158.199,4.000,1.387,0.721,0.812
119,ER.ATL2.png,168,57.598,0.636,21.471,385,58,27.759,13.682,1.454,0.688,0.848
120,ER.ATL2.png,4,8.485,0.698,4.243,563,50,45.000,2.121,2.654,0.377,0.667
121,ER.ATL2.png,1,2.828,1.000,1.414,576,47,135.000,1.000,1.000,1.000,1.000
122,ER.ATL2.png,1,2.828,1.000,1.414,415,48,135.000,1.000,1.000,1.000,1.000
123,ER.ATL2.png,1,2.828,1.000,1.414,569,48,135.000,1.000,1.000,1.000,1.000
124,ER.ATL2.png,1,2.828,1.000,1.414,52,49,135.000,1.000,1.000,1.000,1.000
125,ER.ATL2.png,38,59.255,0.136,13.038,54,60,57.529,9.192,1.768,0.566,0.455
